p,n,m,iters. ,#fg,f,NPG,iters. ,#fg,f,NKLHKHK
2,200,5,32,74,913376.515331672,1.97E-07,,,,
2,200,10,27,32,913376.515331672,5.26E-07,,,,
2,200,20,26,29,913376.515331672,5.80E-07,,,,
1,200,5,1,21,299792.8,1.10E+03,,,,
1,200,10,1,21,299792.8,1.10E+03,,,,
1,200,20,1,21,299792.8,1.10E+03,,,,
1.5,200,5,8,50,95144.1877450699,9.60E+02,,,,
1.5,200,10,8,50,95095.5635531693,9.61E+02,,,,
1.5,200,20,8,50,95095.5635531693,9.61E+02,,,,
1.1,200,5,1,21,658485.96769483,1.10E+03,,,,
1.1,200,10,1,21,658485.96769483,1.10E+03,,,,
1.1,200,20,1,21,658485.96769483,1.10E+03,,,,
1.01,200,5,1,21,324235.017102379,1.10E+03,,,,
1.01,200,10,1,21,324235.017102379,1.10E+03,,,,
1.01,200,20,1,21,324235.017102379,1.10E+03,,,,
1.001,200,5,1,21,302150.58179968,1.10E+03,,,,
1.001,200,10,1,21,302150.58179968,1.10E+03,,,,
1.001,200,20,1,21,302150.58179968,1.10E+03,,,,
1.0001,200,5,1,21,300027.736327598,1.10E+03,,,,
1.0001,200,10,1,21,300027.736327598,1.10E+03,,,,
1.0001,200,20,1,21,300027.736327598,1.10E+03,,,,
1.00001,200,5,1,21,299816.285236336,1.10E+03,,,,
1.00001,200,10,1,21,299816.285236336,1.10E+03,,,,
1.00001,200,20,1,21,299816.285236336,1.10E+03,,,,
10000 p = 2,,,,,,,,,,
p,n,m,iters. ,#fg,f,NPG,iters. ,#fg,f,NKLHKHK
2,5000,5,27,122,23053880.5607232,4.44E-03,23,41,23053880.5607253,2.18896212391269E-007
2,5000,10,25,28,23053880.5607256,8.96E-07,32,40,23053880.5607253,8.39660966369042E-007
2,5000,20,26,80,23053880.560724,3.75E-03,17,43,23053880.5607232,1.0846805934387E-007
2,10000,5,26,68,46116905.6080045,2.80E-06,12,232,46116905.6079994,5.4112329733898E-006
2,10000,10,25,67,46116905.6080057,7.70E-03,18,297,46116905.6080044,3.66365633094926E-005
2,10000,20,28,73,46116905.608006,5.18E-06,18,297,46116905.6080044,3.66359283375247E-005
1,5000,5,1,21,7427792.8,5.51E+03,20,127,242078.712084738,1.25600382379608E-008
1,5000,10,1,21,7427792.8,5.51E+03,56,339,242078.839910433,1.25616227264428E-008
1,5000,20,1,21,7427792.8,5.51E+03,45,249,242078.560631846,7.83923975499642E-008
1,10000,5,1,21,14852792.8,7.79E+03,18,148,484172.781463252,8.25175997474984E-008
1,10000,10,1,21,14852792.8,7.79E+03,10000,30391,484172.773976854,518.2980842071
1,10000,20,1,21,14852792.8,7.79E+03,21,101,484172.918293261,1.77070192572764E-008
